name,Lattitude,Longitude,,,phone
BARC HOSPITAL  ,19.04309006,72.91471906,,,022 2559 8200
Apollo spectra hospital,19.04776339,72.91107424,,,022 4344 4600
RCF Hospital,19.04133826,72.89746121,,,022 2552 3444
Joy Hospital,19.05679204,72.8976829,,,
Sagar Hospital,19.05333362,72.93528899,,,
Hrishikesh Hospital,19.05540239,72.92747839,,,9029882580
Lallu Bhai,19.05390152,72.92782172,,,8779743277
Vishwakarma Hospital,19.05070873,72.93393769,,,
V Care Children Hospital,19.05289918,72.93554768,,,022 2551 2233
Sanjeevani Hospital,19.04820704,72.9144761,,,022 2525 5008
"Ashirwad Hospital, Blessing For Life",19.05264256,72.90920019,,,8655887701
Kailash Jeevan Hospital,19.05501556,72.91486502,,,
Jai Hind Hospital & ICCU,19.05708431,72.9120326,,,7303706050
Mangal Anand Hospital,19.05765092,72.8906026,,,022 2522 4845
Sai Hospital,19.05537937,72.89111758,,,022 2527 1752
Surana Sethia Hospital,19.05420302,72.88708354,,,022 3378 3378
Sushrut Hospital & Research Centre,19.05720473,72.88944388,,,022 2526 5555
Zen Multi Speciality Hospital in Mumbai,19.05659628,72.89673949,,,022 2526 5731
Chembur Hospital Project Trust,19.05716416,72.8897872,,,022 2526 5500
???? ????????,19.03339237,72.89626742,,,022 2528 3160
Mumbai Port Trust Hospital,19.01344132,72.86138713,,,022 6656 7658
S L Raheja Hospital,19.04703317,72.84267604,,,8956087400
P. D. Hinduja National Hospital & Medical Research Centre,19.03441674,72.83872783,,,022 2445 1515
Hinduja Hospital Lalita Girdhar,19.03250999,72.83907115,,,022 2444 9199
Chandra Maternity Hospital,19.04280655,72.89429626,,,2225546404
